id,access,highway,name,lanes,maxspeed,surface,motorcar,service,oneway,Links,latitude,longitude
way/237101539,public,residential,Pineda Street,2,30.0,paved,yes,,no,View on OSM,14.6972577,121.11022245000001
way/252721994,destination,service,Block 3-4,2,20.0,unpaved,yes,alley,no,View on OSM,14.7009343,121.1118282
way/252722014,public,path,,1,,paved,no,,no,View on OSM,14.7014803,121.11246600000001
way/252722016,public,footway,,1,,paved,no,,no,View on OSM,14.701597566666669,121.11257970000001
way/252722017,private,residential,,2,30.0,paved,yes,,no,View on OSM,14.699305016666665,121.11134533333332
way/252722024,private,service,,2,20.0,unpaved,yes,,no,View on OSM,14.69987863076923,121.11087842307691
way/252724612,destination,residential,,2,30.0,paved,yes,,no,View on OSM,14.701127422222223,121.1148677111111
way/260901194,public,path,,1,,paved,no,,no,View on OSM,14.70311284,121.11431094
way/482454409,public,residential,,2,30.0,paved,yes,,no,View on OSM,14.70483831111111,121.11344103333333
way/482454411,public,footway,,1,,paved,no,,no,View on OSM,14.704445466666668,121.11285293333333
way/482454413,public,footway,,1,,paved,no,,no,View on OSM,14.70456,121.11285050000001
way/593463083,public,residential,General F. Macabulos Street,2,30.0,paved,yes,,no,View on OSM,14.697569633333332,121.1095692
way/594263300,private,residential,,2,30.0,paved,yes,,no,View on OSM,14.6988166,121.11019934000001
way/594263301,private,service,,2,20.0,unpaved,no,alley,no,View on OSM,14.698965933333334,121.1106125
way/594263302,private,service,,2,20.0,unpaved,no,alley,no,View on OSM,14.699086566666667,121.11046696666666
way/594263304,destination,residential,Venus Street,2,30.0,paved,yes,,no,View on OSM,14.6980843,121.11125545
way/594263306,public,residential,General Geronimo Street,2,30.0,paved,yes,,no,View on OSM,14.697248,121.10991826666667
way/594263307,private,service,,2,20.0,unpaved,no,alley,no,View on OSM,,
way/594263308,private,service,,2,20.0,unpaved,no,alley,no,View on OSM,14.698284650000002,121.11143129999999
way/594263309,private,residential,,2,30.0,paved,yes,,no,View on OSM,14.698541825,121.111527175
way/594263310,private,residential,,2,30.0,paved,yes,,no,View on OSM,14.69908695,121.1118974
way/594263311,private,residential,,2,30.0,paved,yes,,no,View on OSM,14.699481200000001,121.11194628333334
way/594263312,private,residential,,2,30.0,paved,yes,,no,View on OSM,14.6992919,121.1116022
way/594263313,private,residential,,2,30.0,paved,yes,,no,View on OSM,14.698800875,121.11154615000001
way/594266972,private,residential,,2,30.0,unpaved,yes,,no,View on OSM,14.70109518,121.11347866000001
way/594266974,public,path,,1,,paved,no,,no,View on OSM,14.70030075,121.11272405
way/594266976,public,path,,1,,paved,no,,no,View on OSM,14.70064745,121.1123499
way/594266978,public,path,,1,,paved,no,,no,View on OSM,14.700665325,121.1122681
way/594266980,public,path,,1,,paved,no,,no,View on OSM,14.700748975,121.11233585
way/594266982,public,path,,1,,paved,no,,no,View on OSM,14.700750033333334,121.11223003333333
way/596079598,destination,residential,,2,30.0,paved,yes,,no,View on OSM,14.702424842857143,121.11328087142856
way/596079599,public,path,,1,,paved,no,,no,View on OSM,,
way/596079600,public,path,,1,,paved,no,,no,View on OSM,14.700299185714286,121.11214208571428
way/596079601,public,path,,1,,paved,no,,no,View on OSM,14.700278533333332,121.11238233333334
way/596082043,public,path,,1,,paved,no,,no,View on OSM,14.700441566666667,121.11342763333334
way/596082044,private,residential,,2,30.0,paved,yes,,no,View on OSM,14.701758519999998,121.11208022000001
way/596082045,public,residential,,2,30.0,paved,yes,,no,View on OSM,14.70282765,121.1128175
way/596082046,public,residential,,2,30.0,paved,yes,,no,View on OSM,14.70290626,121.11321382000001
way/596082047,destination,service,,2,20.0,unpaved,no,alley,no,View on OSM,14.7024769,121.11363045
way/596082048,destination,service,,2,20.0,unpaved,no,alley,no,View on OSM,14.70226085,121.11393774999999
way/596082049,destination,service,,2,20.0,unpaved,no,alley,no,View on OSM,14.70236855,121.11376325
way/596082050,destination,service,,2,20.0,unpaved,no,alley,no,View on OSM,14.7023096,121.1138562
way/596164543,public,footway,,1,,paved,no,,no,View on OSM,14.70311465,121.11299389999999
way/596164547,destination,residential,,2,30.0,paved,yes,,no,View on OSM,14.7028525,121.11394455
way/596164548,destination,residential,,2,30.0,paved,yes,,no,View on OSM,14.7031427,121.11369199999999
way/596164549,destination,residential,,2,30.0,paved,yes,,no,View on OSM,14.703151649999999,121.11330545
way/726574325,private,residential,,2,30.0,paved,yes,,no,View on OSM,14.701607766666667,121.11150686666667
way/726574326,public,residential,A. Bonifacio Extension,2,30.0,paved,yes,,no,View on OSM,14.699847850000001,121.1114699
way/726574328,public,path,,1,,paved,no,,no,View on OSM,14.701372939999999,121.11265058
way/726574329,public,path,,1,,paved,no,,no,View on OSM,14.7009764,121.11229263333333
way/726574330,public,path,,1,,paved,no,,no,View on OSM,14.70119165,121.1122486
way/797207912,private,residential,,2,30.0,paved,yes,,no,View on OSM,14.701755666666665,121.11182380000001
way/894137266,destination,residential,,2,30.0,unpaved,yes,,no,View on OSM,14.701265925,121.114012825
way/894148063,destination,residential,,2,30.0,paved,yes,,no,View on OSM,14.701929400000001,121.11455835000001
way/894148064,destination,residential,,2,30.0,paved,yes,,no,View on OSM,14.700812800000001,121.11573245
way/894520854,public,residential,,2,30.0,paved,yes,,no,View on OSM,14.7044113,121.1129016
way/894520855,public,residential,,2,30.0,paved,yes,,no,View on OSM,14.7044614,121.11300065
way/894520856,public,residential,,2,30.0,paved,yes,,no,View on OSM,14.7045063,121.1130784
way/894528181,public,footway,,2,,paved,no,,no,View on OSM,14.7046215,121.11285175
way/894528182,public,residential,,2,30.0,paved,yes,,no,View on OSM,14.70438415,121.11283895
way/895405822,public,path,,1,,paved,no,,no,View on OSM,14.7040797625,121.11363115
way/895405823,public,path,,1,,paved,no,,no,View on OSM,14.703751850000002,121.11368381666666
way/895405824,public,residential,,2,30.0,paved,yes,,no,View on OSM,14.704429133333333,121.11367776666667
way/895428121,private,pedestrian,,2,,paved,no,,no,View on OSM,14.700252066666666,121.1108876
way/895508312,public,residential,Lingayen Street,2,30.0,paved,yes,,no,View on OSM,14.705217748,121.111771904
way/902938214,public,residential,,2,30.0,paved,yes,,no,View on OSM,14.7012733,121.11309125
way/902938824,destination,residential,,2,30.0,paved,yes,,no,View on OSM,14.70151759,121.11519951999999
way/1106980149,public,residential,Lingayen Street,2,30.0,paved,yes,,no,View on OSM,14.704314825,121.1126794
way/1106999424,public,path,,1,,paved,no,,no,View on OSM,14.703879875,121.114327625
way/1106999427,private,service,,2,20.0,unpaved,yes,driveway,no,View on OSM,14.704636257142857,121.11457502857142
way/1106999428,private,service,,2,20.0,unpaved,yes,driveway,no,View on OSM,14.704609642857145,121.11393962857143
way/1107013136,public,footway,,1,,paved,no,,no,View on OSM,14.7045721625,121.1126278625
way/1107024937,private,service,,2,20.0,unpaved,yes,,no,View on OSM,14.70026215,121.11043380000001
way/11070249,public,residential,A. Bonifacio Extension,2,30.0,paved,yes,,no,View on OSM,30.532562401754387,-83.66192094561404
way/1107029202,private,service,,2,20.0,unpaved,no,,no,View on OSM,14.69940525,121.11253235
way/1107228887,public,residential,General Antonio Luna Street,2,30.0,paved,yes,,no,View on OSM,14.69423414,121.11064428
way/1123244168,public,residential,Jupiter Street,2,30.0,paved,yes,,no,View on OSM,14.6982186,121.11041871428571
way/1123244169,public,residential,A. Bonifacio Street,2,30.0,paved,yes,,no,View on OSM,14.6968527,121.1114489
way/1123244170,public,residential,General Geronimo Street,2,30.0,paved,yes,,no,View on OSM,14.697937249999999,121.1104122
way/1123244172,public,residential,J. P. Rizal Street,2,30.0,paved,yes,,no,View on OSM,14.695859083333334,121.1099853
way/1283425173,private,service,,2,20.0,unpaved,no,alley,no,View on OSM,14.69935696,121.10996277
way/1307282281,public,footway,,1,,paved,no,,no,View on OSM,14.704634783333333,121.11288668333333
way/1307282282,public,service,,2,20.0,unpaved,yes,driveway,no,View on OSM,14.70483905,121.11349275
way/1307285143,public,path,,1,,paved,no,,no,View on OSM,14.703898500000001,121.1132531
way/1307285144,public,path,,1,,paved,no,,no,View on OSM,14.7038903,121.11307649999999
way/1307289669,destination,service,,2,20.0,unpaved,no,alley,no,View on OSM,14.7014687,121.1141431
way/1307289670,destination,service,,2,20.0,unpaved,no,alley,no,View on OSM,14.701496550000002,121.11393104999999
way/1307289671,public,residential,San Isidro Labrador Street,2,30.0,paved,yes,,no,View on OSM,14.70347455,121.1129873
way/1307289672,public,residential,,2,30.0,paved,yes,,no,View on OSM,14.70324715,121.112933
way/1307289673,public,footway,,1,,paved,no,,no,View on OSM,14.7022786,121.11267649999999
way/1307289674,private,residential,,2,30.0,paved,yes,,no,View on OSM,14.70277815,121.11301195
way/1307299198,destination,pedestrian,,1,,paved,no,,no,View on OSM,14.701242050000001,121.11497185
way/1307299199,destination,service,,2,20.0,unpaved,no,alley,no,View on OSM,14.7011975,121.11556755
way/1307299200,destination,residential,,2,30.0,paved,yes,,no,View on OSM,14.7005111,121.1147628
way/1307300478,private,residential,,2,30.0,unpaved,yes,,no,View on OSM,14.7009507,121.1132702
way/1307300479,private,residential,,2,30.0,unpaved,yes,,no,View on OSM,14.700739550000002,121.113242
way/1307300480,destination,service,,2,20.0,unpaved,yes,alley,no,View on OSM,14.7015211,121.11372994999999
way/1307304323,public,path,,1,,paved,no,,no,View on OSM,14.7025475,121.11452980000001
way/1307304324,public,path,,1,,paved,no,,no,View on OSM,14.7024351,121.11432596666667
way/1307304325,public,path,,1,,paved,no,,no,View on OSM,14.702578633333333,121.11462726666667
way/1307304326,public,path,,1,,paved,no,,no,View on OSM,14.702998000000001,121.1141466
way/1307304327,public,path,,1,,paved,no,,no,View on OSM,14.7030583,121.11399742500001
way/1307304328,destination,residential,San Isidro Labrador Street,2,30.0,paved,yes,,no,View on OSM,14.703342657142857,121.11340675714287
way/1307304329,public,residential,,2,30.0,unpaved,yes,,no,View on OSM,14.7017482,121.11356845
way/1307304330,public,residential,,2,30.0,paved,yes,,no,View on OSM,14.701752599999999,121.11364115
way/1307304331,public,residential,,2,30.0,paved,yes,,no,View on OSM,14.7026486,121.1127738
way/1307304332,public,residential,,2,30.0,paved,yes,,no,View on OSM,14.702446049999999,121.11272514999999
way/1307304333,destination,residential,,2,30.0,paved,yes,,no,View on OSM,14.702103266666667,121.11368993333333
way/1307304334,destination,residential,,2,30.0,paved,yes,,no,View on OSM,14.70142315,121.11435145
way/1308003781,private,residential,,2,30.0,paved,yes,,no,View on OSM,14.69911245,121.1102351
way/1308003782,public,residential,,2,30.0,paved,yes,,no,View on OSM,14.69849045,121.11034885
way/1308008785,public,residential,,2,30.0,paved,yes,,no,View on OSM,14.699371200000002,121.11121735
way/1308014517,public,residential,Humanity Village Road,2,30.0,paved,yes,,no,View on OSM,14.69807095,121.1106043
way/1308014518,destination,residential,Saturn Street,2,30.0,paved,yes,,no,View on OSM,14.69763592,121.11144271999999
way/1308014519,destination,service,,2,20.0,unpaved,no,alley,no,View on OSM,14.6979008,121.11112944999999
way/1308014520,destination,steps,,2,,paved,no,,no,View on OSM,14.6982091,121.11080145
way/1308014521,destination,service,,2,20.0,unpaved,no,alley,no,View on OSM,14.698307549999999,121.11069675
way/1308022679,public,residential,,2,30.0,paved,yes,,no,View on OSM,14.701601700000001,121.11216765
way/1308024165,public,residential,,2,30.0,paved,yes,,no,View on OSM,14.70013195,121.1117539
way/1308024166,public,residential,,2,30.0,paved,yes,,no,View on OSM,14.7014645,121.11213125
way/1308024167,public,service,,2,20.0,unpaved,no,alley,no,View on OSM,14.70101445,121.11203695
way/1308024168,public,service,Block 3-4,2,20.0,unpaved,no,alley,no,View on OSM,14.700731399999999,121.11195495000001
way/1308024169,public,service,,2,20.0,unpaved,no,alley,no,View on OSM,14.70042755,121.11187045
way/1308024170,public,path,,1,,paved,no,,no,View on OSM,14.700517600000001,121.1120434
way/1308025028,public,service,,2,20.0,unpaved,yes,driveway,no,View on OSM,14.699406033333332,121.11115836666666
way/1308025029,public,pedestrian,,2,,paved,no,,no,View on OSM,14.6997153,121.11136485
way/1308026590,public,residential,,2,30.0,paved,yes,,no,View on OSM,14.6989383,121.11097335
way/1308026591,public,residential,,2,30.0,paved,yes,,no,View on OSM,14.699225949999999,121.11107985000001
way/1308026592,public,residential,,2,30.0,paved,yes,,no,View on OSM,14.69881265,121.1108287
way/1308324995,destination,residential,,2,30.0,paved,yes,,no,View on OSM,14.702558999999999,121.11311216666667
way/1308324996,destination,residential,,2,30.0,paved,yes,,no,View on OSM,14.70129165,121.1146348
way/1309904252,public,residential,,2,30.0,paved,yes,,no,View on OSM,14.7016132,121.112218
way/1309904253,private,residential,,2,30.0,paved,yes,,no,View on OSM,14.701715533333333,121.11223586666667
