id,access,highway,name,lanes,maxspeed,surface,motorcar,service,oneway,Links,latitude,longitude
way/1308014520,destination,steps,,2,,paved,no,,no,View on OSM,14.6982091,121.1108015
way/1308014521,destination,service,,2,20,unpaved,no,alley,no,View on OSM,14.69830755,121.1106968
way/1308022679,public,residential,,2,30,paved,yes,,no,View on OSM,14.7016017,121.1121677
way/1308024165,public,residential,,2,30,paved,yes,,no,View on OSM,14.70013195,121.1117539
way/1308024166,public,residential,,2,30,paved,yes,,no,View on OSM,14.7014645,121.1121313
way/1308024167,public,service,,2,20,unpaved,no,alley,no,View on OSM,14.70101445,121.112037
way/1308024168,public,service,Block 3-4,2,20,unpaved,no,alley,no,View on OSM,14.7007314,121.111955
way/1308024169,public,service,,2,20,unpaved,no,alley,no,View on OSM,14.70042755,121.1118705
way/1308024170,public,path,,1,,paved,no,,no,View on OSM,14.7005176,121.1120434
way/1308025028,public,service,,2,20,unpaved,yes,driveway,no,View on OSM,14.69940603,121.1111584
way/1308025029,public,pedestrian,,2,,paved,no,,no,View on OSM,14.6997153,121.1113649
way/1308026590,public,residential,,2,30,paved,yes,,no,View on OSM,14.6989383,121.1109734
way/1308026591,public,residential,,2,30,paved,yes,,no,View on OSM,14.69922595,121.1110799
way/1308026592,public,residential,,2,30,paved,yes,,no,View on OSM,14.69881265,121.1108287
way/1308324995,destination,residential,,2,30,paved,yes,,no,View on OSM,14.702559,121.1131122
way/1308324996,destination,residential,,2,30,paved,yes,,no,View on OSM,14.70129165,121.1146348
way/1309904252,public,residential,,2,30,paved,yes,,no,View on OSM,14.7016132,121.112218
way/1309904253,private,residential,,2,30,paved,yes,,no,View on OSM,14.70171553,121.1122359
