@id,access,highway,FID,name,fixme,lanes,maxspeed,surface,motorcar,service,short_name,name:etymology,name:etymology:wikidata,foot,sidewalk,source:maxspeed,bridge,layer,oneway,smoothness
way/28321109,,residential,way/28321109,General Yengko Street,,,,,,,Yengko,Flaviano Yengko,Q5458068,,,,,,,
way/30438267,,residential,way/30438267,General Antonio Luna Street,,,,,,,,,,,,,,,,
way/30438268,,residential,way/30438268,General Lucban Street,,,,,,,,,,,,,,,,
way/30438269,,residential,way/30438269,General Malvar Street,,,,,,,,,,,,,,,,
way/34910175,destination,residential,way/34910175,Daniel Street,,2,,concrete,,,,,,,,,,,,
way/34910176,,residential,way/34910176,San Jose Street,,,,,,,,,,,,,,,,
way/124171728,,residential,way/124171728,,,,,,,,,,,,,,,,,
way/124171729,destination,residential,way/124171729,,,,,,,,,,,,,,,,,
way/124171732,private,residential,way/124171732,,,,,,,,,,,,,,,,,
way/124171734,,residential,way/124171734,,,,,,,,,,,yes,,,,,,
way/124171735,private,residential,way/124171735,,,,,,,,,,,,,,,,,
way/124171737,destination,residential,way/124171737,,,,,,,,,,,,,,,,,
way/124171738,destination,service,way/124171738,,,,,,,alley,,,,,,,,,,
way/124171740,,residential,way/124171740,,,,,,,,,,,,,,,,,
way/124171743,private,residential,way/124171743,,,,,,,,,,,,,,,,,
way/124171747,destination,residential,way/124171747,Daniel Street,,2,,concrete,,,,,,,,,,,,
way/124171749,private,residential,way/124171749,Housing Street,,,,,,,,,,,,,,,,
way/124171754,,residential,way/124171754,A. Bonifacio Extension,,,,,,,,,,,,,,,,
way/124171755,destination,residential,way/124171755,,,,,,,,,,,,,,,,,
way/124171758,destination,residential,way/124171758,,,,,,,,,,,,,,,,,
way/124171759,,residential,way/124171759,A. Bonifacio Street,,2,,,,,,,,,no,,,,,
way/124171764,destination,residential,way/124171764,,,2,,concrete,,,,,,,,,,,,
way/124171767,private,footway,way/124171767,,,,,,,,,,,,,,,,,
way/124171771,destination,residential,way/124171771,,,,,,,,,,,,,,,,,
way/237101539,,residential,way/237101539,Pineda Street,,,,,,,,,,,,,,,,
way/239034177,,residential,way/239034177,Joyful Street,,,,,,,,,,,,,,,,
way/252721994,destination,service,way/252721994,Block 3-4,,,,,no,alley,,,,,,,,,,
way/252722014,,path,way/252722014,,,,,,,,,,,,,,,,,
way/252722016,,footway,way/252722016,,,,,,,,,,,,,,,,,
way/252722017,private,residential,way/252722017,,,,,,,,,,,,,,,,,
way/252722024,private,service,way/252722024,,,,,,,driveway,,,,,,,,,,
way/252724612,destination,residential,way/252724612,,,,,,,,,,,,,,,,,
way/257871291,private,residential,way/257871291,Spring Country Avenue,,2,30,concrete,,,,,,,,sign,,,,
way/260901194,,path,way/260901194,,,,,,,,,,,,,,,,,
way/482454409,,residential,way/482454409,,,,,,,,,,,,,,,,,
way/482454411,,footway,way/482454411,,,,,,,,,,,,,,,,,
way/482454413,,footway,way/482454413,,,,,,,,,,,,,,yes,1,,
way/593463083,,residential,way/593463083,General F. Macabulos Street,,,,,,,Macabulos,,,,,,,,,
way/593463089,destination,residential,way/593463089,,,2,,concrete,,,,,,,,,,,,
way/593865072,destination,residential,way/593865072,Timothy Street,,2,,concrete,,,,,,,,,,,,
way/594263300,private,residential,way/594263300,,,,,,no,,,,,,,,,,,
way/594263301,private,service,way/594263301,,,,,,no,alley,,,,,,,,,,
way/594263302,private,service,way/594263302,,,,,,no,alley,,,,,,,,,,
way/594263304,destination,residential,way/594263304,Venus Street,,,,,,,,,,,,,,,,
way/594263306,,residential,way/594263306,General Geronimo Street,,,,,,,Geronimo,,,,,,,,,
way/594263307,private,service,way/594263307,,,,,,,alley,,,,,,,,,,
way/594263308,private,service,way/594263308,,,,,,,alley,,,,,,,,,,
way/594263309,private,residential,way/594263309,,,,,,no,,,,,,,,,,,
way/594263310,private,residential,way/594263310,,,,,,,,,,,,,,,,,
way/594263311,private,residential,way/594263311,,,,,,,,,,,,,,,,,
way/594263312,private,residential,way/594263312,,,,,,,,,,,,,,,,,
way/594263313,private,residential,way/594263313,,,,,,,,,,,,,,,,,
way/594266972,private,residential,way/594266972,,,,,unpaved,,,,,,,,,,,,
way/594266974,,path,way/594266974,,,,,,,,,,,,,,,,,
way/594266976,,path,way/594266976,,,,,,,,,,,,,,,,,
way/594266978,,path,way/594266978,,,,,,,,,,,,,,,,,
way/594266980,,path,way/594266980,,,,,,,,,,,,,,,,,
way/594266982,,path,way/594266982,,,,,,,,,,,,,,,,,
way/596079598,destination,residential,way/596079598,,,,,,,,,,,,,,,,,
way/596079599,,path,way/596079599,,,,,,,,,,,,,,,,,
way/596079600,,path,way/596079600,,,,,,,,,,,,,,,,,
way/596079601,,path,way/596079601,,,,,,,,,,,,,,,,,
way/596082043,,path,way/596082043,,,,,,,,,,,,,,,,,
way/596082044,private,residential,way/596082044,,name,,,,,,,,,,,,,,,
way/596082045,,residential,way/596082045,,,,,,,,,,,,,,,,,
way/596082046,,residential,way/596082046,,,,,,no,,,,,,,,,,,
way/596082047,destination,service,way/596082047,,,,,,,alley,,,,,,,,,,
way/596082048,destination,service,way/596082048,,,,,,,alley,,,,,,,,,,
way/596082049,destination,service,way/596082049,,,,,,,alley,,,,,,,,,,
way/596082050,destination,service,way/596082050,,,,,,,alley,,,,,,,,,,
way/596164543,,footway,way/596164543,,,,,,,,,,,,,,,,,
way/596164545,private,service,way/596164545,,,,30,concrete,,,,,,,,sign,,,,
way/596164546,private,service,way/596164546,,,,30,concrete,,,,,,,,sign,,,,
way/596164547,destination,residential,way/596164547,,,,,,,,,,,,,,,,,
way/596164548,destination,residential,way/596164548,,,,,,,,,,,,,,,,,
way/596164549,destination,residential,way/596164549,,,,,,no,,,,,,,,,,,
way/596164952,private,service,way/596164952,,,,30,concrete,,,,,,,,sign,,,,
way/596164953,private,service,way/596164953,,,,30,concrete,,,,,,,,sign,,,,
way/726574325,private,residential,way/726574325,,,,,,,,,,,,,,,,,
way/726574326,,residential,way/726574326,A. Bonifacio Extension,,,,,,,,,,,,,yes,1,,
way/726574328,,path,way/726574328,,,,,,,,,,,,,,,,,
way/726574329,,path,way/726574329,,,,,,,,,,,,,,,,,
way/726574330,,path,way/726574330,,,,,,,,,,,,,,,,,
way/797207912,private,residential,way/797207912,,,,,,,,,,,,,,,,,
way/894137266,destination,residential,way/894137266,,,,,unpaved,,,,,,,,,,,,
way/894148063,destination,residential,way/894148063,,,,,,,,,,,,,,,,,
way/894148064,destination,residential,way/894148064,,,,,,,,,,,,,,,,,
way/894520854,,residential,way/894520854,,,,,,,,,,,,,,,,,
way/894520855,,residential,way/894520855,,,,,,,,,,,,,,yes,1,,
way/894520856,,residential,way/894520856,,,,,,,,,,,,,,,,,
way/894528181,,footway,way/894528181,,,,,,,,,,,,,,,,,
way/894528182,,residential,way/894528182,,,,,,,,,,,,,,,,,
way/895405822,,path,way/895405822,,,,,,,,,,,,,,,,,
way/895405823,,path,way/895405823,,,,,,,,,,,,,,,,,
way/895405824,,residential,way/895405824,,,,,,,,,,,,,,,,,
way/895428121,private,pedestrian,way/895428121,,,,,,no,,,,,,,,,,,
way/895508310,,residential,way/895508310,,,,,,,,,,,,,,,,,
way/895508311,,residential,way/895508311,,,,,,,,,,,,,,,,,
way/895508312,,residential,way/895508312,Lingayen Street,,,,,,,,,,,,,,,,
way/902938214,,residential,way/902938214,,,,,,,,,,,,,,,,,
way/902938824,destination,residential,way/902938824,,,,,,no,,,,,,,,,,,
way/1106980145,destination,residential,way/1106980145,Titus Street,,2,40,concrete,,,,,,,,,,,,
way/1106980146,,residential,way/1106980146,Spring Country Avenue,,2,40,concrete,,,,,,,,,,,,
way/1106980147,,service,way/1106980147,,,1,,concrete,,alley,,,,,,,,,,
way/1106980149,,residential,way/1106980149,Lingayen Street,,,,,,,,,,,,,,,,
way/1106999424,,path,way/1106999424,,,,,,,,,,,,,,,,,
way/1106999427,private,service,way/1106999427,,,,,unpaved,,,,,,,,,,,,
way/1106999428,private,service,way/1106999428,,,,,unpaved,,,,,,,,,,,,
way/1107013136,,footway,way/1107013136,,,,,,,,,,,,,,,,,
way/1107024937,private,service,way/1107024937,,,,,,,driveway,,,,,,,,,,
way/1107024950,,residential,way/1107024950,A. Bonifacio Extension,,,,,,,,,,,,,,,,
way/1107029202,private,service,way/1107029202,,,,,,,,,,,,,,,,,
way/1107228887,,residential,way/1107228887,General Antonio Luna Street,,,,,,,,,,,,,,,,
way/1123244168,,residential,way/1123244168,Jupiter Street,,,,,,,,,,,,,,,,
way/1123244169,,residential,way/1123244169,A. Bonifacio Street,,,,,,,,,,,,,,,,
way/1123244170,,residential,way/1123244170,General Geronimo Street,,,,,,,Geronimo,,,,,,,,,
way/1123244172,,residential,way/1123244172,J. P. Rizal Street,,,,,,,,,,,,,,,,
way/1249742528,destination,residential,way/1249742528,Matthew Street,,2,40,concrete,,,,,,,,,,,,
way/1249742529,destination,residential,way/1249742529,Nahum Street,,2,,concrete,,,,,,,,,,,,
way/1249742530,destination,residential,way/1249742530,,,2,,concrete,,,,,,,,,,,,
way/1249783771,,footway,way/1249783771,,,,,,,,,,,,,,,,,
way/1249783772,private,service,way/1249783772,,,,,,,parking_aisle,,,,,,,,,,
way/1249783774,private,footway,way/1249783774,,,,,,,,,,,,,,,,,
way/1249783775,destination,residential,way/1249783775,Spring Country Avenue,,1,40,concrete,,,,,,,,,,,yes,
way/1249783776,destination,residential,way/1249783776,Spring Country Avenue,,1,40,concrete,,,,,,,,,,,yes,
way/1249783778,,residential,way/1249783778,Spring Country Avenue,,1,40,concrete,,,,,,,,,,,yes,
way/1249783779,private,residential,way/1249783779,Spring Country Avenue,,1,30,concrete,,,,,,,,sign,,,yes,
way/1249783780,,residential,way/1249783780,Spring Country Avenue,,1,40,concrete,,,,,,,,,,,yes,
way/1249783781,,residential,way/1249783781,Spring Country Avenue,,1,40,concrete,,,,,,,,,,,yes,
way/1249783782,,residential,way/1249783782,Spring Country Avenue,,1,40,concrete,,,,,,,,,,,yes,
way/1249783785,private,residential,way/1249783785,Spring Country Avenue,,1,30,concrete,,,,,,,,sign,,,yes,
way/1283425173,private,service,way/1283425173,,,,,,no,alley,,,,,,,,,,
way/1307282281,,footway,way/1307282281,,,,,,,,,,,,,,,,,
way/1307282282,,service,way/1307282282,,,,,unpaved,,,,,,,,,,,,
way/1307285143,,path,way/1307285143,,,,,,,,,,,,,,yes,1,,
way/1307285144,,path,way/1307285144,,,,,,,,,,,,,,,,,
way/1307289669,destination,service,way/1307289669,,,,,,no,alley,,,,,,,,,,
way/1307289670,destination,service,way/1307289670,,,,,,,alley,,,,,,,,,,
way/1307289671,,residential,way/1307289671,San Isidro Labrador Street,,,,,,,,,,,,,,,,
way/1307289672,,residential,way/1307289672,,,,,,no,,,,,,,,,,,
way/1307289673,,footway,way/1307289673,,,,,,,,,,,,,,,,,
way/1307289674,private,residential,way/1307289674,,,,,,,,,,,,,,,,,
way/1307299198,destination,pedestrian,way/1307299198,,,,,,,,,,,,,,,,,
way/1307299199,destination,service,way/1307299199,,,,,unpaved,,alley,,,,,,,,,,intermediate
way/1307299200,destination,residential,way/1307299200,,,,,,,,,,,,,,,,,
way/1307300478,private,residential,way/1307300478,,,,,unpaved,,,,,,,,,,,,
way/1307300479,private,residential,way/1307300479,,,,,unpaved,,,,,,,,,,,,
way/1307300480,destination,service,way/1307300480,,,,,,,alley,,,,,,,,,,
way/1307304323,,path,way/1307304323,,,,,,,,,,,,,,yes,1,,
way/1307304324,,path,way/1307304324,,,,,,,,,,,,,,,,,
way/1307304325,,path,way/1307304325,,,,,,,,,,,,,,,,,
way/1307304326,,path,way/1307304326,,,,,,,,,,,,,,yes,1,,
way/1307304327,,path,way/1307304327,,,,,,,,,,,,,,,,,
way/1307304328,destination,residential,way/1307304328,San Isidro Labrador Street,,,,,,,,,,,,,,,,
way/1307304329,,residential,way/1307304329,,,,,unpaved,,,,,,,,,,,,
way/1307304330,,residential,way/1307304330,,,,,,,,,,,,,,,,,
way/1307304331,,residential,way/1307304331,,,,,,no,,,,,,,,,,,
way/1307304332,,residential,way/1307304332,,,,,,,,,,,,,,,,,
way/1307304333,destination,residential,way/1307304333,,,,,,,,,,,,,,,,,
way/1307304334,destination,residential,way/1307304334,,,,,,,,,,,,,,,,,
way/1308003781,private,residential,way/1308003781,,,,,,no,,,,,,,,,,,
way/1308003782,,residential,way/1308003782,,,,,,no,,,,,,,,,,,
way/1308008785,,residential,way/1308008785,,,,,,,,,,,,,,,,,
way/1308014517,,residential,way/1308014517,Humanity Village Road,,,,,,,,,,,,,,,,
way/1308014518,destination,residential,way/1308014518,Saturn Street,,,,,,,,,,,,,,,,
way/1308014519,destination,service,way/1308014519,,,,,,no,alley,,,,,,,,,,
way/1308014520,destination,steps,way/1308014520,,,,,,,,,,,,,,,,,
way/1308014521,destination,service,way/1308014521,,,,,,no,alley,,,,,,,,,,
way/1308022679,,residential,way/1308022679,,name,,,,,,,,,,,,,,,
way/1308024165,,residential,way/1308024165,,name,,,,,,,,,,,,,,,
way/1308024166,,residential,way/1308024166,,name,,,,,,,,,,,,,,,
way/1308024167,,service,way/1308024167,,name,,,,no,alley,,,,,,,,,,
way/1308024168,,service,way/1308024168,Block 3-4,,,,,no,alley,,,,,,,,,,
way/1308024169,,service,way/1308024169,,name,,,,no,alley,,,,,,,,,,
way/1308024170,,path,way/1308024170,,,,,,,,,,,,,,,,,
way/1308025028,,service,way/1308025028,,,,,,,driveway,,,,,,,,,,
way/1308025029,,pedestrian,way/1308025029,,,,,,no,,,,,,,,,,,
way/1308026590,,residential,way/1308026590,,,,,,no,,,,,,,,,,,
way/1308026591,,residential,way/1308026591,,,,,,,,,,,,,,,,,
way/1308026592,,residential,way/1308026592,Housing Street,,,,,,,,,,,,,,,,
way/1308324995,destination,residential,way/1308324995,,,,,,no,,,,,,,,,,,
way/1308324996,destination,residential,way/1308324996,,,,,,no,,,,,,,,,,,
way/1309904252,,residential,way/1309904252,,,,,,,,,,,,,,,,,
way/1309904253,private,residential,way/1309904253,,,,,,no,,,,,,,,,,,
